customer_ID,password ,reward_points,phone_number,registraton_time
000001,928140,699,13780432976,2007-06-17
000002,620060,17747,13742700058,2020-07-02
000003,658709,3634,13517463963,2005-01-21
000004,216623,12396,13124967461,2008-07-14
000005,518010,12137,15162566976,2003-12-19
000006,740354,10915,13798656302,2008-07-25
000007,967456,10666,15174490867,2014-11-08
000008,444203,566,13182289154,2006-03-19
000009,784509,5815,13186059228,2005-10-04
000010,975802,18732,13910069768,2017-10-17
000011,883665,12358,13750516082,2004-05-26
000012,812645,700,13572029726,2004-02-16
000013,658396,7797,13510550345,2009-02-08
000014,870573,8006,13575089043,2007-12-19
000015,374561,7681,13949164742,2013-11-12
000016,213847,63,13139682893,2004-12-15
000017,302301,13951,13949639809,2021-10-25
000018,564199,15886,15172236734,2019-07-11
000019,917071,11750,13194879787,2015-10-17
000020,339789,7927,13951550983,2004-02-28
000021,137323,14802,13956356470,2017-02-26
000022,318580,4530,13745672967,2022-12-16
000023,506529,9433,13912161360,2020-04-30
000024,836387,15274,13134416918,2010-05-22
000025,513852,3159,15198921579,2023-01-27
000026,593270,11463,13944923728,2022-01-01
000027,289765,14760,15113130157,2005-11-17
000028,465401,4896,13783808077,2021-06-08
000029,492058,5535,13164521826,2017-03-10
000030,736698,8592,13578692980,2006-03-02
000031,742388,17143,15149693144,2008-03-05
000032,530304,15686,13973230704,2016-07-02
000033,943424,12784,15162251358,2014-04-08
000034,815546,10836,13185648100,2023-02-28
000035,709689,16377,13585235662,2015-11-16
000036,206140,11410,13929765412,2003-12-08
000037,447624,10344,13953517683,2005-07-19
000038,890713,3114,13797025124,2022-03-05
000039,555502,16873,13753047370,2016-11-29
000040,529458,12203,13599290536,2006-10-04
000041,732937,16514,15157572388,2016-08-08
000042,316649,16767,13769134071,2016-10-22
000043,607477,16942,15195526351,2018-01-08
000044,958548,11366,15116059911,2005-08-23
000045,421239,8537,13784395062,2008-10-27
000046,379763,713,13737314794,2019-02-06
000047,348378,8368,13134945013,2014-11-22
000048,784745,12635,13134046115,2009-11-28
000049,522167,3191,13980731289,2022-11-17
000050,331738,16890,13979411879,2006-06-08
000051,586859,19187,13518110591,2020-03-12
000052,691736,6283,13587081688,2005-11-20
000053,775921,14312,13595848427,2004-02-04
000054,241805,4459,13924201289,2016-08-05
000055,866668,13312,13125437557,2003-06-23
000056,980122,17038,13925102382,2007-01-06
000057,501220,12891,15136888093,2011-03-11
000058,614307,19347,13799817487,2006-01-20
000059,923887,11242,15116628705,2021-12-15
000060,395281,16765,13575771606,2007-11-23
000061,443235,5070,13715475831,2008-09-03
000062,930455,16216,13160196696,2021-04-23
000063,285112,6677,15171545841,2013-10-01
000064,313277,18295,15157788134,2003-06-25
000065,650094,9778,13921386490,2004-03-15
000066,796961,16831,13769966245,2010-09-24
